date,publish_date,sales,cogs,gpm,op,net_income,inventory,account_payable,account_receivable,dio,dso,dpo,ccc,sales_mom,sales_yoy,gpm_mom,gpm_yoy,op_mom,op_yoy,net_income_mom,net_income_yoy
2016-03-31,2016-05-16,,,,,,3948333085000.0,6791132349000.0,6306282910000.0,,,,,,,,,,,,
2016-06-30,2016-08-16,,,,,,3975482564000.0,6536632588000.0,5570627238000.0,,,,,,,,,,,,
2016-09-30,2016-12-30,,,,,,3742323609000.0,5479409375000.0,5339934776000.0,,,,,,,,,,,,
2016-12-31,2018-07-10,39320377292000.0,34852183108000.0,4468194184000.0,1549644433000.0,626990744000.0,3879525758000.0,5626701838000.0,5195833888000.0,39.911058230329665,48.90028818648194,58.15604979727229,30.655296619539314,,,,,,,,
2017-03-31,2017-05-15,33855372210000.0,29815945761000.0,4039426449000.0,1387910288000.0,844778387000.0,1279707893000.0,10829773909000.0,3602751180000.0,31.579080162504326,47.42945270103117,100.72820925760807,-21.71967639407258,-0.13898658808423725,,-0.09595995996220563,,-0.10436855162115755,,0.34735384068125885,
2017-06-30,2017-08-14,28621929642000.0,25328120255000.0,3293809387000.0,982478081000.0,3067595679000.0,1242134964000.0,3686190909000.0,3848114765000.0,18.17096242314489,47.508433287710474,104.59376979474152,-38.91437408388616,-0.15458233734775417,,-0.18458488387245786,,-0.29211701253705236,,2.6312430883722406,
2017-09-30,2017-11-14,23587131746000.0,20884661323000.0,2702470423000.0,754176456000.0,2930149615000.0,1109110246000.0,3519487432000.0,3383842926000.0,20.546287257837186,55.955607185317156,62.9666086940212,13.535285749133145,-0.175907004138949,,-0.1795304143384543,,-0.23237325026897981,,-0.04480579528160167,
2017-12-31,2018-07-10,15468835510000.0,14434935998000.0,1033899512000.0,14645630000.0,2693141932000.0,845360005000.0,2995444445000.0,1942374070000.0,24.71024609024387,62.838253153679055,82.36787940848755,5.180619835435365,-0.34418327431340745,-0.6065949368917363,-0.6174243006692104,-0.7686090914082797,-0.9805806321803289,-0.9905490384193185,-0.08088586391176478,3.2953455976377217
2018-03-31,2018-11-09,13703577884000.0,13135156615000.0,568421269000.0,-272607006000.0,2256621298000.0,790845196000.0,2469262761000.0,1702592089000.0,22.733451753555663,48.54252879419034,75.92669766541646,-4.650717117670453,-0.1141170338813694,-0.5952318054872154,-0.45021613570507224,-0.8592816885821208,-19.61353905567736,-1.1964154371914275,-0.16208601144011303,1.6712583237525465
2018-06-30,2018-11-09,12198774899000.0,12174310799000.0,24464100000.0,-600066236000.0,-568771976000.0,814651620000.0,2738558996000.0,1856548744000.0,24.067331100506102,53.24659298990316,78.06827723919848,-0.754353148789221,-0.10981095577651845,-0.5737962097042039,-0.9569613219381486,-0.992572703175674,1.2012135520831038,-1.610768064554918,-1.2520458246601198,-1.1854129538301517
2018-09-30,2018-11-14,11636287695000.0,11785259594000.0,-148971899000.0,-664642970000.0,-787407158000.0,971713956000.0,2262584662000.0,1762034535000.0,27.66266750593903,56.75276047886508,77.44493961335138,6.970488371452731,-0.04611013881780135,-0.5066679653844165,-7.089408521057386,-1.0551243402081814,0.10761600990994591,-1.881283106509493,0.3843986539871296,-1.2687259223792229
2018-12-31,2019-04-01,13119891213000.0,12763180484000.0,356710729000.0,-522520012000.0,-453610241000.0,1009063255000.0,2375104752000.0,1477334313000.0,28.323021950576376,45.06019182340609,66.31406012913669,7.069153644845784,0.1274980094070286,-0.15185010503741536,-3.3944833313831895,-0.6549851074888601,-0.21383353832810414,-36.67753739511377,-0.4239190787239453,-1.1684316135032426
2019-03-31,2019-05-15,13345888930000.0,12912827062000.0,433061868000.0,-370612350000.0,-462090870000.0,981471478000.0,2441061285000.0,1256191328000.0,28.13269216944307,37.37993265934516,68.0679991710788,-2.5553743422905626,0.017225578576144596,-0.026101866025633358,0.21404217140886717,-0.23813218889246035,-0.2907212327018013,0.35951146464665706,0.018695849946650522,-1.2047711197308748
